587	Goodman, Joel	Joel Goodman
588	Gordon, Lindsay	Lindsay Gordon
589	Gordon, Michael	Michael Gordon
590	Gorham, LeRoy	LeRoy Gorham
591	Gosrani, Kunal	Kunal Gosrani
592	Goswami, Monojoy	Monojoy Goswami
593	Govindaraju, Naga	Naga Govindaraju
594	Govindu, Gokul	Gokul Govindu
595	Grabowski, Jessie	Jessie Grabowski
596	Graf, Tobias	Tobias Graf
597	Graham, Paul	Paul Graham
598	Granacki, John	John Granacki
599	Granger, Brian	Brian Granger
600	Green, Oded	Oded Green
601	Greene, Jonathan	Jon Greene|Jonathan Greene
602	Griffiths, Graham	Graham Griffiths
603	Grobelny, Eric	Eric Grobelny
604	Grodowitz, M.L.	M.L. Grodowitz
605	Grossmann, Peter	Peter Grossmann
606	Grout, Ian	Ian Grout
607	Groves, Gillian	Gillian Groves
608	Gu, Yongfeng	Yongfeng Gu
609	Guan, Hang	Hang Guan
610	Guglielmo, Giuseppe Di	Giuseppe Di Guglielmo
611	Guidry, Michael	Michael Guidry
612	Guillen, Carla	Carla Guillen
613	Guillon, Benoît	Benoît Guillon
614	Gundala, Padma	Padma Gundala
615	Guney, Murat	Murat Guney
616	Guo, Qi	Qi Guo
617	Guo, Yue	Yue Guo
618	Gupta, Ankush M.	Ankush M. Gupta
619	Gupta, Kshitij	Kshitij Gupta
620	Gupta, Rajan	Rajan Gupta
621	Gyimothy, S.	S. Gyimothy
622	Hadzikadic, Mirsad	Mirsad Hadzikadic
623	Haidar, Azzam	Azzam Haidar
624	Halappanavar, Mahantesh	Mahantesh Halappanavar
625	Hall, Giles	Giles Hall
626	Hamilton, Robert	Robert Hamilton
627	Hamlin, Ariel	Ariel Hamlin
628	Hammes, Jeff	Jeff Hammes
629	Hammond, Simon D.	Simon D. Hammond
630	Han, Sunggeun	Sunggeun Han
631	Hancock, Braden	Braden Hancock
632	Hanes, Mark	Mark Hanes
633	Haney, Ryan	Ryan Haney
634	Haney, Wayne	Wayne Haney
635	Hankendi, Can	Can Hankendi
